VBELN,POSNR,MATNR,KWMENG,NETPR,NETWR
7203,10,EPAD1000,6,3443.66,20661.95
7203,20,ORMN1000,15,753.87,11308.09
7204,10,PRTR1000,4,5503.24,22012.97
7204,20,DXTR1000,16,15.76,252.22
7204,30,BOTL1000,11,719.69,7916.57
7204,40,PUMP1000,16,548.0,8767.94
7205,10,PUMP1000,22,534.2,11752.34
7205,20,PRTR1000,22,102.97,2265.41
7205,30,DXTR1000,24,122.66,2943.84
7205,40,PUMP1000,2,665.71,1331.43
7206,10,PRTR1000,9,88.23,794.11
7206,20,PRTR1000,2,4887.63,9775.27
7206,30,PUMP1000,8,5379.56,43036.48
7207,10,ORMN1000,7,409.21,2864.48
7207,20,DXTR1000,2,1236.45,2472.9
7207,30,DXTR1000,5,333.53,1667.63
7207,40,PUMP1000,11,312.27,3434.95
7208,10,PRTR1000,21,351.14,7373.87
7208,20,ORMN1000,14,435.33,6094.58
7208,30,EPAD1000,17,682.74,11606.56
7208,40,BOTL1000,24,724.72,17393.39
7209,10,ORMN1000,23,2423.48,55740.0
7209,20,DXTR1000,23,2381.89,54783.44
7209,30,PUMP1000,8,5422.12,43377.0
7210,10,PRTR1000,23,2462.39,56634.93
7210,20,EPAD1000,20,3038.39,60767.88
7210,30,EPAD1000,16,3864.82,61837.14
7211,10,PRTR1000,10,996.09,9960.93
7211,20,PRTR1000,18,354.87,6387.59
7212,10,BOTL1000,18,1204.06,21673.01
7213,10,PRTR1000,10,337.94,3379.38
7213,20,DXTR1000,17,1736.48,29520.16
7213,30,DXTR1000,20,621.37,12427.49
7213,40,ORMN1000,4,1893.85,7575.38
7214,10,EPAD1000,20,2372.5,47449.93
7214,20,DXTR1000,15,1639.21,24588.11
7214,30,ORMN1000,25,446.82,11170.38
7215,10,ORMN1000,22,1316.44,28961.6
7215,20,EPAD1000,2,2471.48,4942.96
7215,30,PUMP1000,12,3345.23,40142.73
7216,10,EPAD1000,6,49398.96,296393.78
7216,20,PUMP1000,16,7442.84,119085.37
7216,30,PUMP1000,21,1366.94,28705.66
7217,10,ORMN1000,8,5919.46,47355.71
7217,20,PRTR1000,4,10809.64,43238.55
7217,30,PRTR1000,17,1307.1,22220.73
7218,10,PRTR1000,7,2569.04,17983.3
7218,20,PUMP1000,10,793.91,7939.11
7218,30,ORMN1000,20,789.18,15783.64
7219,10,PRTR1000,23,347.34,7988.77
7219,20,BOTL1000,2,512.85,1025.69
7219,30,EPAD1000,10,653.97,6539.67
7219,40,DXTR1000,13,111.55,1450.09
7220,10,PUMP1000,12,2502.64,30031.68
7220,20,EPAD1000,25,947.07,23676.82
7220,30,PRTR1000,3,17293.03,51879.09
7221,10,ORMN1000,25,308.72,7717.9
7221,20,DXTR1000,9,832.66,7493.9
7221,30,EPAD1000,10,298.68,2986.83
7222,10,BOTL1000,7,2340.22,16381.57
7222,20,PRTR1000,19,910.25,17294.71
7222,30,PUMP1000,12,993.69,11924.26
7222,40,BOTL1000,6,2523.57,15141.41
7223,10,BOTL1000,21,11537.12,242279.43
7224,10,ORMN1000,25,607.44,15186.09
7224,20,PUMP1000,21,746.54,15677.3
7225,10,DXTR1000,8,2597.15,20777.24
7225,20,PUMP1000,25,703.84,17595.99
7226,10,PUMP1000,23,10224.21,235156.93
7227,10,BOTL1000,15,1092.19,16382.89
7227,20,BOTL1000,14,689.88,9658.37
7227,30,PRTR1000,15,2015.14,30227.04
7227,40,DXTR1000,5,5698.89,28494.46
7228,10,DXTR1000,9,184.43,1659.89
7228,20,BOTL1000,22,103.28,2272.07
7228,30,EPAD1000,5,509.31,2546.56
7228,40,BOTL1000,25,647.21,16180.31
7229,10,DXTR1000,22,83.73,1842.05
7229,20,DXTR1000,23,56.9,1308.63
7229,30,PRTR1000,11,89.65,986.17
7229,40,BOTL1000,24,62.13,1491.07
7230,10,DXTR1000,19,496.91,9441.38
7230,20,BOTL1000,19,1516.65,28816.4
7230,30,ORMN1000,19,650.01,12350.16
7230,40,PUMP1000,23,416.21,9572.85
7231,10,ORMN1000,16,1651.8,26428.79
7231,20,EPAD1000,6,814.26,4885.55
7231,30,ORMN1000,3,1638.86,4916.59
7232,10,ORMN1000,1,9058.31,9058.31
7232,20,DXTR1000,12,2361.99,28343.93
7233,10,BOTL1000,11,2787.06,30657.61
7233,20,PUMP1000,19,1012.69,19241.2
7234,10,DXTR1000,4,3552.4,14209.62
7234,20,PRTR1000,24,27.29,655.06
7235,10,BOTL1000,18,403.76,7267.69
7235,20,DXTR1000,4,1107.62,4430.49
7235,30,ORMN1000,1,14581.92,14581.92
7236,10,DXTR1000,25,2560.79,64019.68
7236,20,BOTL1000,5,1831.24,9156.21
7237,10,EPAD1000,21,456.67,9589.98
7237,20,EPAD1000,6,4032.08,24192.46
7237,30,PRTR1000,25,849.68,21242.04
7238,10,BOTL1000,2,51484.08,102968.17
7239,10,EPAD1000,14,4627.13,64779.78
7240,10,ORMN1000,19,1475.33,28031.24
7240,20,EPAD1000,22,407.0,8953.9
7240,30,DXTR1000,20,1126.91,22538.2
7240,40,ORMN1000,7,615.87,4311.08
7241,10,PUMP1000,5,3348.49,16742.47
7241,20,BOTL1000,21,986.81,20723.01
7241,30,PRTR1000,6,1611.45,9668.68
7242,10,EPAD1000,17,2150.87,36564.75
7242,20,BOTL1000,13,2478.02,32214.29
7242,30,DXTR1000,22,2363.28,51992.24
7243,10,PRTR1000,3,20100.18,60300.54
7243,20,PRTR1000,3,54416.62,163249.85
7243,30,ORMN1000,8,13827.77,110622.16
7243,40,EPAD1000,19,10469.53,198921.01
7244,10,PRTR1000,21,4552.06,95593.18
7245,10,EPAD1000,5,1205.45,6027.25
7245,20,PUMP1000,9,6197.04,55773.32
7245,30,EPAD1000,7,9431.0,66017.02
7245,40,DXTR1000,3,10712.39,32137.17
7246,10,EPAD1000,18,125.12,2252.2
7246,20,PUMP1000,2,1312.82,2625.63
7247,10,BOTL1000,20,210.56,4211.14
7247,20,EPAD1000,9,892.72,8034.47
7247,30,ORMN1000,24,161.69,3880.58
7248,10,BOTL1000,2,7579.25,15158.51
7248,20,ORMN1000,14,2071.7,29003.74
7248,30,DXTR1000,14,1587.15,22220.17
7249,10,PUMP1000,17,1528.54,25985.13
7249,20,EPAD1000,12,3518.5,42221.94
7249,30,DXTR1000,24,1484.0,35616.02
7250,10,BOTL1000,14,7171.06,100394.77
7251,10,BOTL1000,15,1498.68,22480.26
7251,20,ORMN1000,20,1544.12,30882.43
7251,30,PUMP1000,8,2305.86,18446.91
7252,10,PRTR1000,11,2604.9,28653.92
7252,20,PRTR1000,20,2103.06,42061.24
7253,10,DXTR1000,13,3367.48,43777.2
7254,10,BOTL1000,8,409.45,3275.63
7254,20,PUMP1000,23,827.58,19034.44
7255,10,PRTR1000,10,250.74,2507.37
7255,20,PRTR1000,24,67.12,1610.85
7255,30,BOTL1000,13,141.35,1837.58
7255,40,EPAD1000,7,319.85,2238.97
7256,10,DXTR1000,15,859.38,12890.72
7257,10,ORMN1000,15,122.21,1833.09
7257,20,DXTR1000,13,839.53,10913.9
7257,30,PRTR1000,23,589.33,13554.61
7257,40,ORMN1000,2,6857.22,13714.43
7258,10,EPAD1000,23,721.93,16604.42
7258,20,PRTR1000,24,668.77,16050.46
7258,30,PRTR1000,13,1200.41,15605.28
7258,40,BOTL1000,23,833.02,19159.37
7259,10,PRTR1000,20,1519.75,30395.01
7260,10,ORMN1000,2,26881.07,53762.14
7260,20,PRTR1000,25,512.5,12812.56
7261,10,BOTL1000,16,7846.21,125539.29
7262,10,EPAD1000,18,2790.89,50235.97
7262,20,PUMP1000,19,884.25,16800.83
7263,10,DXTR1000,25,2805.69,70142.19
7263,20,PRTR1000,6,1077.86,6467.14
7264,10,BOTL1000,23,689.02,15847.37
7264,20,PRTR1000,24,881.37,21152.81
7265,10,BOTL1000,6,1606.17,9637.02
7265,20,BOTL1000,5,2167.69,10838.47
7265,30,BOTL1000,22,241.37,5310.14
7265,40,BOTL1000,5,20.93,104.66
7266,10,EPAD1000,7,1927.83,13494.82
7266,20,PUMP1000,1,1032.3,1032.3
7267,10,PUMP1000,1,52737.25,52737.25
7267,20,ORMN1000,18,4327.72,77898.97
7267,30,PUMP1000,2,21936.56,43873.13
7268,10,BOTL1000,8,1426.07,11408.55
7268,20,BOTL1000,5,1945.62,9728.12
7268,30,PRTR1000,5,253.02,1265.11
7268,40,BOTL1000,14,1118.17,15654.43
7269,10,BOTL1000,14,1895.7,26539.75
7269,20,DXTR1000,8,2761.62,22092.94
7269,30,BOTL1000,8,2419.64,19357.09
7269,40,PUMP1000,1,5238.69,5238.69
7270,10,PRTR1000,7,6145.54,43018.8
7271,10,EPAD1000,24,467.23,11213.53
7271,20,PRTR1000,24,516.3,12391.22
7272,10,DXTR1000,14,194.96,2729.44
7272,20,ORMN1000,20,1399.41,27988.12
7272,30,EPAD1000,12,202.51,2430.12
7272,40,PUMP1000,3,6470.33,19411.0
7273,10,EPAD1000,1,568.8,568.8
7273,20,BOTL1000,23,23.31,536.1
7273,30,ORMN1000,20,34.24,684.77
7274,10,PRTR1000,19,831.89,15805.85
7274,20,PRTR1000,6,2947.67,17686.03
7275,10,PUMP1000,16,3811.86,60989.77
7276,10,PUMP1000,21,909.27,19094.6
7276,20,DXTR1000,5,2795.98,13979.88
7276,30,DXTR1000,3,5179.72,15539.17
7277,10,PRTR1000,16,2259.13,36146.11
7278,10,PUMP1000,21,169.35,3556.29
7278,20,ORMN1000,16,1198.3,19172.75
7279,10,ORMN1000,10,806.21,8062.1
7279,20,DXTR1000,4,3111.34,12445.38
7279,30,BOTL1000,17,82.86,1408.63
7279,40,ORMN1000,7,1976.14,13833.0
7280,10,ORMN1000,5,910.2,4551.02
7280,20,ORMN1000,20,308.36,6167.28
7280,30,EPAD1000,3,2943.22,8829.65
7281,10,PRTR1000,5,4389.32,21946.62
7281,20,PRTR1000,19,1000.67,19012.66
7281,30,PUMP1000,17,1174.53,19967.0
7282,10,EPAD1000,12,406.1,4873.23
7282,20,BOTL1000,3,12004.67,36014.01
7283,10,PRTR1000,21,662.65,13915.69
7284,10,DXTR1000,10,1498.65,14986.52
7284,20,PUMP1000,1,13715.04,13715.04
7284,30,PRTR1000,24,142.02,3408.48
7284,40,PRTR1000,10,1861.98,18619.79
7285,10,DXTR1000,4,328.2,1312.78
7285,20,PRTR1000,13,1330.46,17296.01
7285,30,BOTL1000,14,793.96,11115.42
7286,10,EPAD1000,15,267.96,4019.35
7286,20,BOTL1000,22,42.97,945.39
7286,30,EPAD1000,20,391.19,7823.73
7287,10,PUMP1000,14,2338.15,32734.12
7288,10,ORMN1000,1,9023.99,9023.99
7288,20,BOTL1000,6,1206.36,7238.16
7288,30,ORMN1000,16,335.1,5361.58
7288,40,BOTL1000,23,404.62,9306.33
7289,10,PUMP1000,3,13731.76,41195.29
7290,10,ORMN1000,5,352.88,1764.42
7290,20,PUMP1000,19,1058.73,20115.93
7290,30,PRTR1000,6,2446.3,14677.77
7291,10,DXTR1000,4,6771.78,27087.14
7292,10,PRTR1000,11,1150.86,12659.45
7292,20,BOTL1000,17,289.99,4929.91
7292,30,DXTR1000,1,25683.28,25683.28
7292,40,BOTL1000,10,2742.96,27429.65
7293,10,DXTR1000,12,1405.04,16860.47
7293,20,ORMN1000,17,868.1,14757.77
7293,30,PUMP1000,21,233.88,4911.49
7293,40,PUMP1000,19,531.42,10096.96
7294,10,ORMN1000,1,11866.13,11866.13
7294,20,DXTR1000,5,314.13,1570.65
7294,30,ORMN1000,25,539.53,13488.14
7295,10,EPAD1000,18,2270.94,40876.96
7295,20,PRTR1000,11,385.52,4240.7
7295,30,PRTR1000,13,7816.26,101611.32
7295,40,PRTR1000,6,14228.61,85371.68
7296,10,BOTL1000,11,1771.65,19488.16
7296,20,DXTR1000,21,731.36,15358.63
7296,30,PUMP1000,6,7458.79,44752.72
7297,10,PUMP1000,16,1845.29,29524.6
7298,10,PRTR1000,5,128.92,644.61
7298,20,DXTR1000,11,551.83,6070.11
7298,30,PRTR1000,14,2520.96,35293.45
7298,40,ORMN1000,15,905.55,13583.27
7299,10,EPAD1000,12,3224.39,38692.65
7300,10,PRTR1000,17,1050.68,17861.58
7301,10,ORMN1000,2,10449.22,20898.44
7301,20,EPAD1000,4,4047.38,16189.54
7302,10,ORMN1000,11,3484.61,38330.69
7303,10,PUMP1000,4,4373.06,17492.24
7303,20,PUMP1000,25,263.4,6585.09
7304,10,ORMN1000,22,692.44,15233.7
7304,20,PUMP1000,15,996.31,14944.62
7305,10,PRTR1000,7,5302.03,37114.19
7305,20,ORMN1000,2,17850.88,35701.76
7305,30,PRTR1000,1,41243.64,41243.64
7306,10,ORMN1000,23,1032.05,23737.23
7307,10,PUMP1000,12,2185.53,26226.34
7308,10,BOTL1000,5,4398.75,21993.76
7308,20,ORMN1000,5,59.81,299.06
7308,30,PUMP1000,18,4516.34,81294.04
7309,10,BOTL1000,20,2589.33,51786.69
7310,10,ORMN1000,25,390.37,9759.29
7310,20,PRTR1000,25,615.34,15383.62
7310,30,PRTR1000,15,695.75,10436.22
7311,10,PRTR1000,20,1956.39,39127.86
7311,20,BOTL1000,23,1402.16,32249.64
7312,10,PUMP1000,11,1989.08,21879.92
7312,20,PRTR1000,2,12637.58,25275.16
7312,30,DXTR1000,5,1985.52,9927.58
7312,40,BOTL1000,21,1090.58,22902.28
7313,10,PUMP1000,18,2700.93,48616.75
7314,10,PUMP1000,19,728.98,13850.65
7314,20,EPAD1000,5,3496.79,17483.97
7314,30,ORMN1000,20,618.03,12360.59
7315,10,PUMP1000,6,3073.61,18441.67
7316,10,BOTL1000,12,5056.75,60680.95
7316,20,ORMN1000,4,2910.58,11642.31
7316,30,DXTR1000,14,2066.19,28926.72
7317,10,PUMP1000,2,3038.45,6076.91
7317,20,BOTL1000,15,6634.72,99520.84
7318,10,DXTR1000,15,2179.27,32689.01
7318,20,PUMP1000,22,29.98,659.66
7319,10,PRTR1000,24,899.28,21582.72
7319,20,DXTR1000,25,136.76,3419.01
7319,30,PRTR1000,15,71.06,1065.89
7319,40,BOTL1000,10,2479.47,24794.73
7320,10,BOTL1000,8,1466.82,11734.56
7320,20,ORMN1000,15,367.54,5513.09
7320,30,DXTR1000,7,2969.2,20784.4
7320,40,ORMN1000,16,2351.25,37620.03
7321,10,EPAD1000,18,225.78,4064.13
7321,20,PRTR1000,4,1163.1,4652.41
7322,10,PUMP1000,21,4718.58,99090.17
7322,20,DXTR1000,2,4466.93,8933.86
7323,10,ORMN1000,23,697.83,16050.03
7323,20,DXTR1000,18,562.51,10125.23
7324,10,PRTR1000,6,3994.6,23967.59
7324,20,EPAD1000,18,2476.03,44568.52
7325,10,PUMP1000,12,165.62,1987.41
7325,20,PUMP1000,16,6520.54,104328.67
7325,30,PUMP1000,17,5408.22,91939.71
7326,10,BOTL1000,21,259.97,5459.31
7326,20,DXTR1000,22,261.14,5745.02
7326,30,PRTR1000,23,94.54,2174.35
7327,10,PUMP1000,18,1617.4,29113.16
7327,20,ORMN1000,17,609.15,10355.52
7327,30,EPAD1000,3,9416.66,28249.97
7327,40,PRTR1000,24,544.43,13066.21
7328,10,EPAD1000,6,31140.63,186843.77
7328,20,BOTL1000,21,4992.9,104850.91
7328,30,BOTL1000,14,9909.94,138739.12
7329,10,DXTR1000,5,648.67,3243.35
7329,20,ORMN1000,12,375.68,4508.13
7330,10,PUMP1000,12,7529.58,90354.99
7331,10,PUMP1000,24,2.78,66.76
7331,20,DXTR1000,8,375.69,3005.55
7331,30,PRTR1000,10,425.08,4250.78
7331,40,BOTL1000,9,952.69,8574.21
7332,10,PRTR1000,17,2997.62,50959.6
7332,20,EPAD1000,23,1443.16,33192.63
7332,30,EPAD1000,17,3061.72,52049.32
7333,10,DXTR1000,7,4195.75,29370.26
7333,20,PUMP1000,9,2679.66,24116.92
7333,30,PRTR1000,1,49685.29,49685.29
7334,10,DXTR1000,1,33603.18,33603.18
7335,10,PRTR1000,1,16510.84,16510.84
7336,10,ORMN1000,21,3818.28,80183.97
7337,10,BOTL1000,12,2742.66,32911.93
7338,10,ORMN1000,7,916.16,6413.11
7338,20,ORMN1000,17,306.62,5212.5
7338,30,PUMP1000,24,35.72,857.19
7338,40,PRTR1000,10,496.64,4966.4
7339,10,ORMN1000,10,3383.89,33838.87
7340,10,BOTL1000,8,4180.33,33442.61
7340,20,BOTL1000,5,6138.47,30692.37
7340,30,BOTL1000,21,34.48,724.03
7340,40,DXTR1000,18,983.51,17703.09
7341,10,PUMP1000,11,312.48,3437.28
7341,20,BOTL1000,17,2389.35,40618.87
7341,30,DXTR1000,25,1119.61,27990.21
7341,40,PRTR1000,16,1557.22,24915.52
7342,10,PRTR1000,13,971.3,12626.9
7342,20,ORMN1000,12,141.19,1694.31
7343,10,PRTR1000,14,99.94,1399.1
7343,20,PUMP1000,25,119.97,2999.13
7343,30,BOTL1000,23,347.8,7999.48
7344,10,PRTR1000,8,1335.97,10687.77
7344,20,PRTR1000,25,504.87,12621.7
7344,30,DXTR1000,16,3265.42,52246.64
7344,40,BOTL1000,10,1202.62,12026.24
7345,10,ORMN1000,23,97.25,2236.81
7345,20,PRTR1000,1,8247.15,8247.15
7345,30,ORMN1000,13,343.25,4462.23
7346,10,DXTR1000,18,590.09,10621.71
7346,20,PRTR1000,6,1987.52,11925.1
7346,30,PUMP1000,24,211.21,5069.03
7347,10,ORMN1000,17,567.38,9645.46
7347,20,ORMN1000,21,1932.3,40578.39
7348,10,PUMP1000,24,894.41,21465.74
7349,10,BOTL1000,22,2021.03,44462.7
7350,10,ORMN1000,25,480.0,11999.93
7350,20,DXTR1000,19,650.68,12362.97
7351,10,DXTR1000,21,366.25,7691.29
7351,20,PRTR1000,24,242.72,5825.19
7351,30,ORMN1000,5,213.47,1067.37
7352,10,PUMP1000,3,7969.8,23909.41
7353,10,EPAD1000,9,14274.81,128473.26
7353,20,PUMP1000,7,1797.03,12579.21
7353,30,EPAD1000,8,3587.68,28701.4
7354,10,ORMN1000,25,508.88,12721.91
7355,10,ORMN1000,7,1498.88,10492.19
7355,20,BOTL1000,21,1182.97,24842.46
7355,30,ORMN1000,4,5211.46,20845.83
7356,10,ORMN1000,21,3302.68,69356.37
7357,10,ORMN1000,15,959.62,14394.26
7357,20,PRTR1000,19,514.45,9774.52
7357,30,PUMP1000,5,2927.42,14637.09
7357,40,PRTR1000,21,39.61,831.79
7358,10,ORMN1000,21,219.24,4604.12
7358,20,BOTL1000,4,379.77,1519.08
7358,30,BOTL1000,1,7052.02,7052.02
7358,40,PRTR1000,25,312.55,7813.67
7359,10,PUMP1000,19,532.1,10109.84
7359,20,BOTL1000,25,956.35,23908.81
7359,30,ORMN1000,5,2000.52,10002.58
7359,40,EPAD1000,1,14958.75,14958.75
7360,10,EPAD1000,8,671.41,5371.24
7360,20,PRTR1000,10,606.49,6064.91
7360,30,PRTR1000,12,244.22,2930.6
7360,40,DXTR1000,16,265.9,4254.32
7361,10,EPAD1000,2,2503.74,5007.47
7361,20,PUMP1000,2,10060.01,20120.02
7362,10,BOTL1000,11,431.74,4749.1
7363,10,BOTL1000,25,443.23,11080.76
7363,20,PRTR1000,13,272.2,3538.66
7364,10,ORMN1000,13,2234.57,29049.43
7364,20,ORMN1000,23,261.83,6022.11
7365,10,EPAD1000,13,1038.98,13506.71
7365,20,ORMN1000,8,1585.41,12683.31
7365,30,DXTR1000,5,2796.45,13982.27
7365,40,DXTR1000,13,738.88,9605.44
7366,10,BOTL1000,17,2368.94,40271.99
7366,20,ORMN1000,15,1505.03,22575.42
7367,10,PUMP1000,25,1280.58,32014.51
7368,10,PUMP1000,23,173.97,4001.35
7368,20,ORMN1000,13,1092.12,14197.58
7369,10,ORMN1000,23,451.36,10381.31
7369,20,PRTR1000,13,594.54,7729.04
7369,30,PUMP1000,4,633.01,2532.05
7369,40,ORMN1000,11,256.69,2823.59
7370,10,EPAD1000,14,1416.01,19824.09
7370,20,BOTL1000,3,3906.48,11719.45
7371,10,DXTR1000,2,49800.42,99600.84
7371,20,EPAD1000,7,11241.74,78692.19
7372,10,EPAD1000,14,2991.77,41884.78
7373,10,PUMP1000,15,165.23,2478.47
7373,20,EPAD1000,25,358.88,8972.07
7373,30,BOTL1000,12,113.61,1363.28
7373,40,DXTR1000,9,926.92,8342.27
7374,10,ORMN1000,25,150.82,3770.53
7374,20,PRTR1000,11,618.97,6808.71
7374,30,EPAD1000,8,316.7,2533.61
7375,10,EPAD1000,5,1067.07,5335.36
7375,20,PRTR1000,13,660.31,8583.97
7375,30,PRTR1000,9,602.29,5420.65
7375,40,EPAD1000,19,331.93,6306.65
7376,10,DXTR1000,8,32723.45,261787.6
7377,10,BOTL1000,19,6387.45,121361.59
7378,10,PUMP1000,25,2190.68,54766.95
7378,20,BOTL1000,18,3164.86,56967.39
7379,10,PRTR1000,16,1043.23,16691.64
7380,10,BOTL1000,4,9932.12,39728.48
7380,20,BOTL1000,15,677.67,10165.02
7380,30,DXTR1000,25,340.56,8514.09
7381,10,PRTR1000,15,93.55,1403.3
7381,20,PUMP1000,11,577.52,6352.76
7381,30,DXTR1000,22,386.73,8508.02
7381,40,ORMN1000,2,2599.33,5198.66
7382,10,DXTR1000,1,1915.35,1915.35
7382,20,ORMN1000,20,135.44,2708.73
7382,30,BOTL1000,15,541.45,8121.79
7382,40,ORMN1000,22,214.71,4723.59
7383,10,EPAD1000,21,102.38,2149.95
7383,20,PUMP1000,25,86.61,2165.22
7383,30,EPAD1000,4,420.26,1681.04
7383,40,PRTR1000,14,118.66,1661.27
7384,10,PRTR1000,19,1026.85,19510.18
7385,10,PUMP1000,14,975.68,13659.54
7385,20,EPAD1000,24,929.98,22319.43
7385,30,EPAD1000,15,392.01,5880.21
7385,40,BOTL1000,8,2551.98,20415.83
7386,10,DXTR1000,1,12427.96,12427.96
7386,20,ORMN1000,15,1855.2,27827.94
7386,30,DXTR1000,12,343.94,4127.33
7386,40,DXTR1000,9,854.57,7691.13
7387,10,BOTL1000,25,82.99,2074.76
7387,20,DXTR1000,19,187.11,3555.03
7387,30,DXTR1000,4,2317.21,9268.83
7388,10,EPAD1000,21,2376.43,49905.1
7388,20,DXTR1000,20,1172.97,23459.38
7388,30,EPAD1000,16,5346.57,85545.06
7388,40,BOTL1000,21,981.31,20607.58
7389,10,EPAD1000,14,152.15,2130.03
7389,20,DXTR1000,9,988.79,8899.15
7389,30,BOTL1000,6,1073.08,6438.46
7389,40,DXTR1000,21,579.43,12168.11
7390,10,PRTR1000,5,15471.02,77355.09
7390,20,PUMP1000,6,8124.07,48744.45
7391,10,EPAD1000,23,1283.44,29519.2
7391,20,DXTR1000,11,3538.79,38926.65
7391,30,PUMP1000,16,523.01,8368.16
7392,10,ORMN1000,13,936.89,12179.56
7392,20,DXTR1000,16,539.53,8632.55
7392,30,PRTR1000,10,2153.43,21534.31
7393,10,PUMP1000,7,474.47,3321.3
7393,20,BOTL1000,24,400.78,9618.65
7394,10,EPAD1000,25,72.18,1804.45
7394,20,DXTR1000,20,2061.48,41229.58
7394,30,EPAD1000,15,563.16,8447.41
7395,10,PRTR1000,10,996.44,9964.4
7395,20,PRTR1000,15,421.34,6320.16
7395,30,BOTL1000,11,698.89,7687.77
7396,10,DXTR1000,15,2603.29,39049.29
7396,20,ORMN1000,24,1161.61,27878.61
7396,30,EPAD1000,10,2792.5,27924.96
7397,10,ORMN1000,14,77.15,1080.04
7397,20,PUMP1000,13,1071.92,13935.01
7398,10,BOTL1000,23,564.88,12992.13
7398,20,EPAD1000,9,1051.06,9459.5
7398,30,BOTL1000,4,1662.72,6650.9
7399,10,BOTL1000,14,3318.41,46457.75
7400,10,DXTR1000,23,1438.82,33092.91
7401,10,EPAD1000,3,33715.72,101147.17
7402,10,DXTR1000,6,1884.14,11304.85
7402,20,PUMP1000,1,9217.19,9217.19
7402,30,PUMP1000,8,2010.63,16085.02
7402,40,EPAD1000,23,54.79,1260.23
7403,10,ORMN1000,8,2427.53,19420.26
7403,20,PRTR1000,11,496.04,5456.4
7403,30,DXTR1000,5,837.9,4189.52
7404,10,PUMP1000,21,67.04,1407.76
7404,20,PRTR1000,13,1059.42,13772.41
7404,30,PUMP1000,21,642.25,13487.27
7405,10,PRTR1000,1,31350.65,31350.65
7406,10,ORMN1000,19,179.38,3408.18
7406,20,DXTR1000,4,2686.9,10747.6
7406,30,BOTL1000,7,1549.25,10844.76
7407,10,EPAD1000,15,1539.39,23090.88
7407,20,EPAD1000,11,2192.66,24119.28
7407,30,BOTL1000,23,992.03,22816.76
7407,40,PRTR1000,18,1205.26,21694.65
7408,10,PRTR1000,21,28.42,596.88
7408,20,PRTR1000,14,84.65,1185.09
7408,30,BOTL1000,17,37.47,637.02
7408,40,ORMN1000,16,101.94,1631.12
7409,10,ORMN1000,4,827.72,3310.87
7409,20,PRTR1000,23,913.54,21011.34
7409,30,EPAD1000,1,14396.78,14396.78
7409,40,ORMN1000,4,1039.18,4156.72
7410,10,BOTL1000,12,9874.43,118493.13
7410,20,BOTL1000,19,3919.86,74477.38
7411,10,EPAD1000,1,8119.48,8119.48
7411,20,BOTL1000,20,537.69,10753.9
7411,30,PUMP1000,24,435.58,10453.86
7412,10,PRTR1000,5,2111.8,10559.01
7413,10,DXTR1000,22,602.36,13251.99
7413,20,PUMP1000,8,5977.11,47816.91
7413,30,ORMN1000,14,7662.65,107277.16
7413,40,BOTL1000,14,6555.97,91783.62
7414,10,PUMP1000,13,5073.75,65958.73
7415,10,PUMP1000,5,2107.96,10539.79
7415,20,EPAD1000,15,735.65,11034.7
7415,30,DXTR1000,20,26.29,525.84
7415,40,PRTR1000,11,1114.61,12260.7
7416,10,PRTR1000,11,108.87,1197.54
7416,20,ORMN1000,24,107.76,2586.32
7416,30,BOTL1000,6,304.03,1824.16
7416,40,PUMP1000,15,199.57,2993.62
7417,10,EPAD1000,24,15299.15,367179.5
7418,10,ORMN1000,3,602.29,1806.87
7418,20,PRTR1000,22,381.41,8390.98
7418,30,PUMP1000,6,4.76,28.56
7418,40,PUMP1000,25,10.87,271.64
7419,10,DXTR1000,10,1865.63,18656.27
7419,20,ORMN1000,1,16511.15,16511.15
7419,30,PRTR1000,25,625.02,15625.51
7419,40,PRTR1000,7,1142.45,7997.18
7420,10,PUMP1000,23,2774.33,63809.53
7421,10,ORMN1000,8,1531.4,12251.19
7421,20,EPAD1000,18,700.94,12616.95
7421,30,DXTR1000,17,1377.55,23418.41
7421,40,PRTR1000,20,1167.27,23345.45
7422,10,EPAD1000,10,1654.34,16543.36
7422,20,ORMN1000,21,822.94,17281.65
7422,30,EPAD1000,13,94.24,1225.06
7423,10,DXTR1000,11,1399.41,15393.53
7423,20,PUMP1000,23,379.3,8723.95
7423,30,DXTR1000,9,336.78,3030.98
7424,10,PRTR1000,3,10143.93,30431.8
7424,20,PRTR1000,9,268.11,2412.95
7424,30,DXTR1000,5,6407.85,32039.24
7425,10,EPAD1000,23,725.25,16680.68
7425,20,EPAD1000,4,1120.75,4483.0
7425,30,DXTR1000,9,3176.94,28592.48
7425,40,ORMN1000,8,2951.55,23612.38
7426,10,EPAD1000,11,3402.42,37426.57
7426,20,ORMN1000,17,121.59,2066.96
7427,10,EPAD1000,5,6034.09,30170.45
7428,10,ORMN1000,16,49.73,795.73
7428,20,DXTR1000,9,127.56,1148.0
7429,10,PUMP1000,7,3043.2,21302.37
7429,20,DXTR1000,23,170.47,3920.73
7430,10,DXTR1000,11,1515.01,16665.1
7431,10,BOTL1000,2,8254.46,16508.92
7431,20,PRTR1000,5,12665.12,63325.62
7432,10,EPAD1000,7,7967.78,55774.45
7433,10,PUMP1000,11,2370.28,26073.08
7434,10,EPAD1000,17,1346.65,22893.07
7435,10,ORMN1000,20,2581.67,51633.32
