VBELN,KUNNR,ERDAT,NETWR,WAERS,AUART
4494,1079,2022-02-10,42574.01,USD,OR
4495,1592,2022-02-10,18625.8,USD,OR
4496,3058,2022-02-10,48285.46,USD,OR
4497,2393,2022-02-10,66417.64,USD,OR
4498,2392,2022-02-10,53780.81,USD,OR
4499,4381,2022-02-10,30607.22,USD,OR
4500,711,2022-02-10,84753.95,USD,OR
4501,3572,2022-02-10,38828.81,USD,OR
4502,1196,2022-02-10,1191501.5,USD,OR
4503,2201,2022-02-10,48126.8,USD,OR
4504,1995,2022-02-10,29647.15,USD,OR
4505,1985,2022-02-10,10432.71,USD,OR
4506,4968,2022-02-10,44828.58,USD,OR
4507,3027,2022-02-10,32388.99,USD,OR
4508,1660,2022-02-10,200289.71,USD,OR
4509,2363,2022-02-10,117153.87,USD,OR
4510,4828,2022-02-10,34697.88,USD,OR
4511,2202,2022-02-10,17156.69,USD,OR
4512,3887,2022-02-10,14796.93,USD,OR
4513,3602,2022-02-10,108134.26,USD,OR
4514,733,2022-02-10,45979.74,USD,OR
4515,1497,2022-02-10,109923.24,USD,OR
4516,137,2022-02-10,57350.12,USD,OR
4517,2432,2022-02-10,357599.14,USD,OR
4518,785,2022-02-10,16105.78,USD,OR
4519,4878,2022-02-10,66689.58,USD,OR
4520,3191,2022-02-10,65250.47,USD,OR
4521,1548,2022-02-10,110227.13,USD,OR
4522,2401,2022-02-10,129570.49,USD,OR
4523,2860,2022-02-10,59518.97,USD,OR
4524,2709,2022-02-10,25359.42,USD,OR
4525,1564,2022-02-10,181608.35,USD,OR
4526,3618,2022-02-10,21028.12,USD,OR
4527,4653,2022-02-10,38052.28,USD,OR
4528,170,2022-02-10,636977.51,USD,OR
4529,2408,2022-02-10,17609.97,USD,OR
4530,1586,2022-02-10,62352.46,USD,OR
4531,2709,2022-02-10,22636.3,USD,OR
4532,1776,2022-02-10,33848.86,USD,OR
4533,3596,2022-02-10,17696.99,USD,OR
4534,3292,2022-02-10,40236.43,USD,OR
4535,4787,2022-02-10,79676.97,USD,OR
4536,2676,2022-02-10,465786.11,USD,OR
4537,1898,2022-02-10,46932.11,USD,OR
4538,261,2022-02-10,258076.26,USD,OR
4539,4557,2022-02-10,40205.69,USD,OR
4540,1886,2022-02-10,29977.36,USD,OR
4541,264,2022-02-10,25620.19,USD,OR
4542,3421,2022-02-10,105756.22,USD,OR
4543,3323,2022-02-10,7922.36,USD,OR
4544,1876,2022-02-10,41305.7,USD,OR
4545,4777,2022-02-10,20373.36,USD,OR
4546,1142,2022-02-10,254066.29,USD,OR
4547,2992,2022-02-10,11013.63,USD,OR
4548,3349,2022-02-10,70778.11,USD,OR
4549,509,2022-02-10,168712.97,USD,OR
4550,3333,2022-02-10,63621.2,USD,OR
4551,1509,2022-02-11,62360.17,USD,OR
4552,4411,2022-02-11,95101.27,USD,OR
4553,1062,2022-02-11,47142.17,USD,OR
4554,4897,2022-02-11,37838.07,USD,OR
4555,4591,2022-02-11,42179.24,USD,OR
4556,3807,2022-02-11,66739.7,USD,OR
4557,3426,2022-02-11,235421.47,USD,OR
4558,424,2022-02-11,19868.91,USD,OR
4559,1541,2022-02-11,74572.58,USD,OR
4560,996,2022-02-11,67500.84,USD,OR
4561,2846,2022-02-11,166784.69,USD,OR
4562,2602,2022-02-11,78586.73,USD,OR
4563,4771,2022-02-11,43063.2,USD,OR
4564,947,2022-02-11,40526.7,USD,OR
4565,43,2022-02-11,692536.76,USD,OR
4566,529,2022-02-11,346647.54,USD,OR
4567,30,2022-02-11,101345.1,USD,OR
4568,3801,2022-02-11,21424.82,USD,OR
4569,4270,2022-02-11,33330.53,USD,OR
4570,3518,2022-02-11,51371.69,USD,OR
4571,598,2022-02-11,60432.12,USD,OR
4572,1309,2022-02-11,27505.08,USD,OR
4573,3451,2022-02-11,80037.86,USD,OR
4574,1527,2022-02-11,456231.23,USD,OR
4575,2564,2022-02-11,54296.81,USD,OR
4576,2135,2022-02-11,18283.34,USD,OR
4577,1310,2022-02-11,72340.54,USD,OR
4578,2507,2022-02-11,36005.74,USD,OR
4579,2591,2022-02-11,77182.55,USD,OR
4580,4320,2022-02-11,18439.38,USD,OR
4581,3276,2022-02-11,45424.48,USD,OR
4582,2906,2022-02-11,24807.38,USD,OR
4583,970,2022-02-11,78511.41,USD,OR
4584,314,2022-02-11,34281.66,USD,OR
4585,816,2022-02-11,27418.81,USD,OR
4586,4567,2022-02-11,19924.9,USD,OR
4587,3540,2022-02-11,94330.19,USD,OR
4588,3681,2022-02-11,23615.8,USD,OR
4589,2335,2022-02-11,27019.99,USD,OR
4590,3766,2022-02-11,6219.05,USD,OR
4591,2270,2022-02-11,153649.37,USD,OR
4592,4238,2022-02-11,97190.32,USD,OR
4593,3685,2022-02-11,11328.57,USD,OR
4594,1359,2022-02-11,68156.57,USD,OR
4595,1216,2022-02-11,36292.97,USD,OR
4596,4013,2022-02-11,1753507.82,USD,OR
4597,3475,2022-02-11,35326.21,USD,OR
4598,1355,2022-02-11,45772.51,USD,OR
4599,3338,2022-02-11,16509.31,USD,OR
4600,1181,2022-02-11,64972.08,USD,OR
4601,4295,2022-02-11,71349.3,USD,OR
4602,2884,2022-02-11,72624.36,USD,OR
4603,1447,2022-02-11,193339.56,USD,OR
4604,2889,2022-02-11,21333.86,USD,OR
4605,2965,2022-02-11,76625.76,USD,OR
4606,1492,2022-02-11,16745.3,USD,OR
4607,1779,2022-02-11,60340.64,USD,OR
4608,3563,2022-02-11,123483.01,USD,OR
4609,4635,2022-02-11,23124.97,USD,OR
4610,4455,2022-02-11,47234.59,USD,OR
4611,997,2022-02-11,129868.46,USD,OR
4612,4307,2022-02-11,41273.17,USD,OR
4613,1845,2022-02-11,37146.66,USD,OR
4614,690,2022-02-11,38851.12,USD,OR
4615,2343,2022-02-11,57187.84,USD,OR
4616,2235,2022-02-11,443590.89,USD,OR
4617,4770,2022-02-11,17710.84,USD,OR
4618,393,2022-02-11,38092.35,USD,OR
4619,1737,2022-02-11,81001.34,USD,OR
4620,2264,2022-02-11,73366.57,USD,OR
4621,1479,2022-02-11,20329.45,USD,OR
4622,4403,2022-02-11,46812.01,USD,OR
4623,4264,2022-02-11,60685.35,USD,OR
4624,1526,2022-02-11,54345.9,USD,OR
4625,3823,2022-02-11,56679.32,USD,OR
4626,549,2022-02-11,100831.2,USD,OR
4627,258,2022-02-11,247365.89,USD,OR
4628,3844,2022-02-11,86658.71,USD,OR
4629,1121,2022-02-11,23977.92,USD,OR
4630,4765,2022-02-11,104156.33,USD,OR
4631,2861,2022-02-11,153597.07,USD,OR
4632,2469,2022-02-11,34275.38,USD,OR
4633,2946,2022-02-11,341104.85,USD,OR
4634,3410,2022-02-11,505631.02,USD,OR
4635,2241,2022-02-11,85953.91,USD,OR
4636,517,2022-02-11,45534.44,USD,OR
4637,3902,2022-02-11,91366.61,USD,OR
4638,516,2022-02-11,39613.53,USD,OR
4639,3948,2022-02-11,48612.16,USD,OR
4640,3497,2022-02-11,67756.56,USD,OR
4641,3584,2022-02-11,28086.33,USD,OR
4642,2868,2022-02-11,115187.58,USD,OR
4643,2911,2022-02-11,18643.15,USD,OR
4644,3585,2022-02-11,61297.67,USD,OR
4645,2704,2022-02-11,20230.98,USD,OR
4646,4962,2022-02-11,32415.51,USD,OR
4647,2867,2022-02-11,116972.33,USD,OR
4648,1377,2022-02-11,62115.69,USD,OR
4649,4421,2022-02-11,34899.75,USD,OR
4650,4377,2022-02-11,41188.74,USD,OR
4651,2011,2022-02-11,13862.28,USD,OR
4652,4423,2022-02-11,49978.88,USD,OR
4653,2256,2022-02-11,492297.65,USD,OR
4654,3006,2022-02-11,12083.21,USD,OR
4655,4182,2022-02-11,73853.86,USD,OR
4656,2971,2022-02-11,108982.06,USD,OR
4657,765,2022-02-11,38725.37,USD,OR
4658,2009,2022-02-11,11872.67,USD,OR
4659,4096,2022-02-11,35042.05,USD,OR
4660,2723,2022-02-11,52186.52,USD,OR
4661,1685,2022-02-11,34114.09,USD,OR
4662,1793,2022-02-11,60411.07,USD,OR
4663,2689,2022-02-11,43283.68,USD,OR
4664,2181,2022-02-12,21181.57,USD,OR
4665,861,2022-02-12,50865.82,USD,OR
4666,2185,2022-02-12,280892.12,USD,OR
4667,2839,2022-02-12,54193.19,USD,OR
4668,40,2022-02-12,40476.35,USD,OR
4669,2064,2022-02-12,34217.52,USD,OR
4670,1857,2022-02-12,513717.38,USD,OR
4671,955,2022-02-12,25089.9,USD,OR
4672,3401,2022-02-12,138374.0,USD,OR
4673,500,2022-02-12,40117.62,USD,OR
4674,3407,2022-02-12,47084.78,USD,OR
4675,4823,2022-02-12,42683.36,USD,OR
4676,1167,2022-02-12,98155.42,USD,OR
4677,2412,2022-02-12,37076.73,USD,OR
4678,3245,2022-02-12,90507.51,USD,OR
4679,3542,2022-02-12,137294.83,USD,OR
4680,4601,2022-02-12,86510.94,USD,OR
4681,1484,2022-02-12,211592.07,USD,OR
4682,4500,2022-02-12,53521.05,USD,OR
4683,3384,2022-02-12,106844.04,USD,OR
4684,4912,2022-02-12,47004.66,USD,OR
4685,2446,2022-02-12,190470.41,USD,OR
4686,3366,2022-02-12,29609.85,USD,OR
4687,2165,2022-02-12,17449.32,USD,OR
4688,692,2022-02-12,7412.88,USD,OR
4689,2455,2022-02-12,30870.64,USD,OR
4690,2138,2022-02-12,8642.75,USD,OR
4691,2580,2022-02-12,54221.52,USD,OR
4692,3622,2022-02-12,26205.11,USD,OR
4693,3623,2022-02-12,26068.4,USD,OR
4694,3328,2022-02-12,17585.16,USD,OR
4695,2178,2022-02-12,102705.59,USD,OR
4696,455,2022-02-12,37634.9,USD,OR
4697,2338,2022-02-12,42630.64,USD,OR
4698,4274,2022-02-12,28216.72,USD,OR
4699,2268,2022-02-12,161711.22,USD,OR
4700,4027,2022-02-12,279553.44,USD,OR
4701,267,2022-02-12,67912.97,USD,OR
4702,3220,2022-02-12,33141.71,USD,OR
4703,27,2022-02-12,104002.52,USD,OR
4704,1678,2022-02-12,25468.3,USD,OR
4705,4088,2022-02-12,207519.31,USD,OR
4706,4211,2022-02-12,25108.06,USD,OR
4707,1823,2022-02-12,109697.26,USD,OR
4708,3359,2022-02-12,45790.4,USD,OR
4709,1687,2022-02-12,53159.3,USD,OR
4710,466,2022-02-12,136749.07,USD,OR
4711,911,2022-02-12,20135.75,USD,OR
4712,1102,2022-02-12,221398.21,USD,OR
4713,4046,2022-02-12,52013.96,USD,OR
4714,1310,2022-02-12,59804.19,USD,OR
4715,342,2022-02-12,184425.18,USD,OR
4716,3726,2022-02-12,40393.29,USD,OR
4717,4266,2022-02-12,40494.93,USD,OR
4718,4923,2022-02-12,44919.98,USD,OR
4719,4569,2022-02-12,153372.02,USD,OR
4720,3632,2022-02-12,45144.02,USD,OR
4721,3050,2022-02-12,42707.15,USD,OR
4722,2753,2022-02-12,235218.72,USD,OR
4723,3812,2022-02-12,45293.23,USD,OR
4724,355,2022-02-12,35176.51,USD,OR
4725,1416,2022-02-12,77807.0,USD,OR
4726,2751,2022-02-12,33576.12,USD,OR
4727,3951,2022-02-12,74469.21,USD,OR
4728,3817,2022-02-12,83455.51,USD,OR
4729,4535,2022-02-12,99572.58,USD,OR
4730,3737,2022-02-12,54855.18,USD,OR
4731,4289,2022-02-12,16880.62,USD,OR
4732,1626,2022-02-12,17297.12,USD,OR
4733,4237,2022-02-12,11158.87,USD,OR
4734,38,2022-02-12,21491.78,USD,OR
4735,4193,2022-02-12,29011.09,USD,OR
4736,4313,2022-02-12,37327.09,USD,OR
4737,3474,2022-02-12,113815.92,USD,OR
4738,1324,2022-02-12,85242.49,USD,OR
4739,138,2022-02-12,193555.55,USD,OR
4740,665,2022-02-12,80570.77,USD,OR
4741,1717,2022-02-12,73406.94,USD,OR
4742,1408,2022-02-12,9797.77,USD,OR
4743,1144,2022-02-12,70178.56,USD,OR
4744,3881,2022-02-12,206223.52,USD,OR
4745,262,2022-02-12,18073.12,USD,OR
4746,1320,2022-02-12,144644.92,USD,OR
4747,2383,2022-02-12,20570.45,USD,OR
4748,475,2022-02-12,26843.37,USD,OR
4749,4038,2022-02-12,54878.68,USD,OR
4750,3644,2022-02-12,12698.42,USD,OR
4751,4543,2022-02-12,61383.27,USD,OR
4752,2915,2022-02-12,58630.71,USD,OR
4753,1951,2022-02-12,55643.22,USD,OR
4754,3598,2022-02-12,15422.81,USD,OR
4755,2453,2022-02-13,29453.93,USD,OR
4756,2791,2022-02-13,13308.18,USD,OR
4757,1141,2022-02-13,5285.49,USD,OR
4758,530,2022-02-13,54547.84,USD,OR
4759,270,2022-02-13,79660.49,USD,OR
4760,3248,2022-02-13,13899.78,USD,OR
4761,2800,2022-02-13,20166.38,USD,OR
4762,4750,2022-02-13,37791.9,USD,OR
4763,1176,2022-02-13,48767.16,USD,OR
4764,3868,2022-02-13,42556.92,USD,OR
4765,3516,2022-02-13,12133.82,USD,OR
4766,3345,2022-02-13,47457.2,USD,OR
4767,3151,2022-02-13,118695.5,USD,OR
4768,3521,2022-02-13,66767.32,USD,OR
4769,4907,2022-02-13,73442.17,USD,OR
4770,4622,2022-02-13,149777.39,USD,OR
4771,2628,2022-02-13,156017.48,USD,OR
4772,2547,2022-02-13,40223.72,USD,OR
4773,3257,2022-02-13,143451.87,USD,OR
4774,413,2022-02-13,111241.51,USD,OR
4775,403,2022-02-13,72566.45,USD,OR
4776,3861,2022-02-13,45718.57,USD,OR
4777,2697,2022-02-13,48718.96,USD,OR
4778,4605,2022-02-13,50051.19,USD,OR
4779,4538,2022-02-13,47364.0,USD,OR
4780,359,2022-02-13,359399.86,USD,OR
4781,1380,2022-02-13,27381.52,USD,OR
4782,1043,2022-02-13,63831.71,USD,OR
4783,4693,2022-02-13,11283.84,USD,OR
4784,2753,2022-02-13,272776.44,USD,OR
4785,2511,2022-02-13,26421.17,USD,OR
4786,431,2022-02-13,28172.06,USD,OR
4787,4792,2022-02-13,29098.15,USD,OR
4788,4591,2022-02-13,42551.74,USD,OR
4789,1308,2022-02-13,34295.38,USD,OR
4790,2425,2022-02-13,57188.9,USD,OR
4791,777,2022-02-13,9772.67,USD,OR
4792,2966,2022-02-13,176123.56,USD,OR
4793,2922,2022-02-13,66020.24,USD,OR
4794,3803,2022-02-13,706710.08,USD,OR
4795,2135,2022-02-13,18625.41,USD,OR
4796,4050,2022-02-13,17214.32,USD,OR
4797,2431,2022-02-13,39416.91,USD,OR
4798,1320,2022-02-13,151693.27,USD,OR
4799,143,2022-02-13,11794.52,USD,OR
4800,139,2022-02-13,7271.33,USD,OR
4801,4217,2022-02-13,23536.43,USD,OR
4802,384,2022-02-13,25001.16,USD,OR
4803,4599,2022-02-13,24921.1,USD,OR
4804,1269,2022-02-13,376494.05,USD,OR
4805,4083,2022-02-13,70295.44,USD,OR
4806,2990,2022-02-13,56938.38,USD,OR
4807,4055,2022-02-13,30630.07,USD,OR
4808,4473,2022-02-13,32281.43,USD,OR
4809,31,2022-02-13,37004.07,USD,OR
4810,1089,2022-02-13,307326.84,USD,OR
4811,1565,2022-02-13,9421.33,USD,OR
4812,1908,2022-02-13,71951.91,USD,OR
4813,2941,2022-02-13,36869.39,USD,OR
4814,4868,2022-02-13,9662.03,USD,OR
4815,753,2022-02-13,83854.02,USD,OR
4816,4145,2022-02-13,14237.72,USD,OR
4817,4193,2022-02-13,23114.94,USD,OR
4818,1548,2022-02-13,139859.69,USD,OR
4819,2622,2022-02-13,13576.44,USD,OR
4820,4339,2022-02-13,7642.76,USD,OR
4821,2521,2022-02-13,23128.84,USD,OR
4822,4336,2022-02-13,29988.1,USD,OR
4823,1927,2022-02-13,117238.18,USD,OR
4824,3988,2022-02-13,78848.48,USD,OR
4825,3740,2022-02-13,105284.07,USD,OR
4826,4450,2022-02-13,12908.14,USD,OR
4827,4983,2022-02-13,34350.02,USD,OR
4828,4294,2022-02-13,41467.01,USD,OR
4829,1186,2022-02-13,129613.44,USD,OR
4830,1334,2022-02-13,1567180.67,USD,OR
4831,4779,2022-02-13,15531.18,USD,OR
4832,3534,2022-02-13,86497.68,USD,OR
4833,2439,2022-02-13,72438.67,USD,OR
4834,4890,2022-02-13,131811.69,USD,OR
4835,795,2022-02-13,64453.15,USD,OR
4836,4298,2022-02-13,164364.34,USD,OR
4837,2330,2022-02-13,27012.16,USD,OR
4838,327,2022-02-13,22256.81,USD,OR
4839,3681,2022-02-13,22693.48,USD,OR
4840,522,2022-02-13,161778.28,USD,OR
4841,1828,2022-02-13,104659.79,USD,OR
4842,1215,2022-02-13,242153.16,USD,OR
4843,2246,2022-02-13,15561.0,USD,OR
4844,693,2022-02-13,35570.22,USD,OR
4845,2162,2022-02-13,80444.63,USD,OR
4846,4773,2022-02-14,257396.03,USD,OR
4847,1605,2022-02-14,11695.11,USD,OR
4848,4894,2022-02-14,20555.29,USD,OR
4849,4092,2022-02-14,80909.25,USD,OR
4850,3233,2022-02-14,102594.61,USD,OR
4851,4002,2022-02-14,48646.54,USD,OR
4852,955,2022-02-14,34812.35,USD,OR
4853,4872,2022-02-14,86407.72,USD,OR
4854,4154,2022-02-14,117933.45,USD,OR
4855,2210,2022-02-14,164345.27,USD,OR
4856,2005,2022-02-14,13416.21,USD,OR
4857,4420,2022-02-14,92845.61,USD,OR
4858,4288,2022-02-14,795572.54,USD,OR
4859,2864,2022-02-14,82963.92,USD,OR
4860,3910,2022-02-14,101720.49,USD,OR
4861,1584,2022-02-14,71186.17,USD,OR
4862,4943,2022-02-14,27424.71,USD,OR
4863,1124,2022-02-14,20658.75,USD,OR
4864,3700,2022-02-14,29384.62,USD,OR
4865,828,2022-02-14,49912.94,USD,OR
4866,502,2022-02-14,83854.82,USD,OR
4867,2013,2022-02-14,15246.63,USD,OR
4868,2148,2022-02-14,195363.72,USD,OR
4869,490,2022-02-14,37815.31,USD,OR
4870,4263,2022-02-14,23370.25,USD,OR
4871,760,2022-02-14,23867.91,USD,OR
4872,3973,2022-02-14,16952.46,USD,OR
4873,795,2022-02-14,89807.65,USD,OR
4874,424,2022-02-14,16888.01,USD,OR
4875,1126,2022-02-14,32979.77,USD,OR
4876,4795,2022-02-14,47279.69,USD,OR
4877,4830,2022-02-14,9784.07,USD,OR
4878,3250,2022-02-14,51098.16,USD,OR
4879,1435,2022-02-14,24101.76,USD,OR
4880,2167,2022-02-14,20180.19,USD,OR
4881,3181,2022-02-14,533852.65,USD,OR
4882,4266,2022-02-14,34606.59,USD,OR
4883,4276,2022-02-14,73228.4,USD,OR
4884,4005,2022-02-14,22671.32,USD,OR
4885,2719,2022-02-14,61996.46,USD,OR
4886,3548,2022-02-14,54063.57,USD,OR
4887,4745,2022-02-14,49536.99,USD,OR
4888,4956,2022-02-14,123002.0,USD,OR
4889,1482,2022-02-14,26326.97,USD,OR
4890,3528,2022-02-14,196461.39,USD,OR
4891,2441,2022-02-14,34490.74,USD,OR
4892,2800,2022-02-14,19291.56,USD,OR
4893,4853,2022-02-14,10836.69,USD,OR
4894,3631,2022-02-14,19540.87,USD,OR
4895,762,2022-02-14,83944.02,USD,OR
4896,1016,2022-02-14,30229.44,USD,OR
4897,451,2022-02-14,33751.99,USD,OR
4898,4265,2022-02-14,17674.91,USD,OR
4899,2451,2022-02-14,89757.92,USD,OR
4900,1530,2022-02-14,12201.05,USD,OR
4901,2867,2022-02-14,74773.83,USD,OR
4902,215,2022-02-14,290749.75,USD,OR
4903,1116,2022-02-14,33687.4,USD,OR
4904,4754,2022-02-14,23705.52,USD,OR
4905,2316,2022-02-14,100601.41,USD,OR
4906,1868,2022-02-14,751802.56,USD,OR
4907,4592,2022-02-14,158693.74,USD,OR
4908,609,2022-02-14,50055.65,USD,OR
4909,893,2022-02-14,38199.13,USD,OR
4910,392,2022-02-14,19221.8,USD,OR
4911,3487,2022-02-14,33930.78,USD,OR
4912,1272,2022-02-14,54796.82,USD,OR
4913,1759,2022-02-14,4330.85,USD,OR
4914,3841,2022-02-14,11943.46,USD,OR
4915,619,2022-02-14,48403.6,USD,OR
4916,611,2022-02-14,26156.39,USD,OR
4917,913,2022-02-14,20081.32,USD,OR
4918,868,2022-02-14,69533.64,USD,OR
4919,1735,2022-02-14,20196.17,USD,OR
4920,2273,2022-02-14,17652.08,USD,OR
4921,3345,2022-02-14,38386.37,USD,OR
4922,3948,2022-02-14,29222.05,USD,OR
4923,2110,2022-02-14,10902.51,USD,OR
4924,3274,2022-02-14,18074.03,USD,OR
4925,2138,2022-02-14,6050.44,USD,OR
4926,1018,2022-02-14,46749.92,USD,OR
4927,4038,2022-02-14,83325.51,USD,OR
4928,627,2022-02-14,32143.26,USD,OR
4929,531,2022-02-14,48327.27,USD,OR
4930,4026,2022-02-14,73430.34,USD,OR
4931,2986,2022-02-14,33679.69,USD,OR
4932,4085,2022-02-14,148430.62,USD,OR
4933,4217,2022-02-14,21026.88,USD,OR
4934,904,2022-02-14,95149.38,USD,OR
4935,1943,2022-02-14,76151.91,USD,OR
4936,1918,2022-02-14,39492.17,USD,OR
4937,525,2022-02-14,121547.71,USD,OR
4938,4760,2022-02-14,5203.68,USD,OR
4939,40,2022-02-14,25303.61,USD,OR
4940,1874,2022-02-14,24344.67,USD,OR
4941,2962,2022-02-14,44000.53,USD,OR
4942,3268,2022-02-14,119298.27,USD,OR
4943,3998,2022-02-14,58764.44,USD,OR
4944,4163,2022-02-14,53314.3,USD,OR
4945,930,2022-02-15,25760.52,USD,OR
4946,3362,2022-02-15,85767.93,USD,OR
4947,3587,2022-02-15,16743.55,USD,OR
4948,628,2022-02-15,12826.96,USD,OR
4949,2442,2022-02-15,14965.59,USD,OR
4950,2624,2022-02-15,12171.76,USD,OR
4951,1160,2022-02-15,107681.37,USD,OR
4952,395,2022-02-15,29689.17,USD,OR
4953,3588,2022-02-15,49269.85,USD,OR
4954,4156,2022-02-15,69373.93,USD,OR
4955,4910,2022-02-15,3761.34,USD,OR
4956,1476,2022-02-15,57055.5,USD,OR
4957,4893,2022-02-15,140413.73,USD,OR
4958,4815,2022-02-15,4642.38,USD,OR
4959,967,2022-02-15,19988.03,USD,OR
4960,1105,2022-02-15,24185.62,USD,OR
4961,2346,2022-02-15,169168.42,USD,OR
4962,1936,2022-02-15,38485.42,USD,OR
4963,1549,2022-02-15,41097.3,USD,OR
4964,3769,2022-02-15,37128.11,USD,OR
4965,2990,2022-02-15,66945.22,USD,OR
4966,3878,2022-02-15,7020.6,USD,OR
4967,377,2022-02-15,61621.26,USD,OR
4968,196,2022-02-15,33544.11,USD,OR
4969,3719,2022-02-15,76717.95,USD,OR
4970,4002,2022-02-15,48042.54,USD,OR
4971,3297,2022-02-15,115359.95,USD,OR
4972,2772,2022-02-15,21084.79,USD,OR
4973,3713,2022-02-15,47926.12,USD,OR
4974,1177,2022-02-15,66546.82,USD,OR
4975,3857,2022-02-15,58797.9,USD,OR
4976,166,2022-02-15,24610.7,USD,OR
4977,3393,2022-02-15,17957.73,USD,OR
4978,4196,2022-02-15,8885.7,USD,OR
4979,1288,2022-02-15,31526.79,USD,OR
4980,4242,2022-02-15,78551.68,USD,OR
4981,4355,2022-02-15,38264.12,USD,OR
4982,115,2022-02-15,43534.35,USD,OR
4983,3540,2022-02-15,157078.34,USD,OR
4984,4892,2022-02-15,11290.74,USD,OR
4985,4145,2022-02-15,20999.49,USD,OR
4986,3300,2022-02-15,206764.44,USD,OR
4987,1474,2022-02-15,134511.89,USD,OR
4988,2071,2022-02-15,1430016.16,USD,OR
4989,3479,2022-02-15,17811.34,USD,OR
4990,194,2022-02-15,13773.4,USD,OR
4991,1785,2022-02-15,45054.33,USD,OR
4992,196,2022-02-15,22835.25,USD,OR
4993,1211,2022-02-15,60728.37,USD,OR
4994,4188,2022-02-15,393459.3,USD,OR
4995,2209,2022-02-15,35032.12,USD,OR
4996,725,2022-02-15,13359.71,USD,OR
4997,97,2022-02-15,53676.59,USD,OR
4998,1787,2022-02-15,50463.51,USD,OR
4999,2468,2022-02-15,105765.5,USD,OR
5000,556,2022-02-15,72160.57,USD,OR
5001,3349,2022-02-15,56003.56,USD,OR
5002,1275,2022-02-15,178461.57,USD,OR
5003,600,2022-02-15,32532.72,USD,OR
5004,1026,2022-02-15,88470.12,USD,OR
5005,800,2022-02-15,55538.85,USD,OR
5006,2394,2022-02-15,53813.63,USD,OR
5007,2395,2022-02-15,13188.78,USD,OR
5008,1746,2022-02-15,472990.64,USD,OR
5009,2619,2022-02-15,10238.06,USD,OR
5010,730,2022-02-15,19255.72,USD,OR
5011,904,2022-02-15,94641.99,USD,OR
5012,4972,2022-02-15,38999.81,USD,OR
5013,1144,2022-02-15,47564.86,USD,OR
5014,1240,2022-02-15,6633.31,USD,OR
5015,3783,2022-02-15,117287.74,USD,OR
5016,609,2022-02-15,65842.89,USD,OR
5017,1126,2022-02-15,30201.27,USD,OR
5018,1240,2022-02-15,9202.69,USD,OR
5019,3155,2022-02-15,100551.41,USD,OR
5020,2846,2022-02-15,136631.71,USD,OR
5021,2305,2022-02-15,10795.04,USD,OR
5022,2131,2022-02-15,47194.34,USD,OR
5023,30,2022-02-15,119851.6,USD,OR
5024,3748,2022-02-15,114697.55,USD,OR
5025,2149,2022-02-15,78292.35,USD,OR
5026,2285,2022-02-15,73321.22,USD,OR
5027,404,2022-02-15,34646.22,USD,OR
5028,4653,2022-02-15,41795.8,USD,OR
5029,512,2022-02-15,37529.46,USD,OR
5030,69,2022-02-15,41764.33,USD,OR
5031,593,2022-02-15,30610.59,USD,OR
5032,2164,2022-02-15,82700.51,USD,OR
5033,4358,2022-02-15,17176.13,USD,OR
5034,3574,2022-02-15,87577.58,USD,OR
5035,3777,2022-02-15,29264.69,USD,OR
5036,4572,2022-02-15,42226.84,USD,OR
5037,3725,2022-02-15,152939.86,USD,OR
5038,4527,2022-02-15,77541.2,USD,OR
5039,1259,2022-02-15,30913.03,USD,OR
5040,2383,2022-02-15,10251.37,USD,OR
5041,455,2022-02-15,41112.21,USD,OR
5042,545,2022-02-15,119152.77,USD,OR
5043,4724,2022-02-15,74066.14,USD,OR
5044,3429,2022-02-15,17286.19,USD,OR
5045,2243,2022-02-15,19809.65,USD,OR
5046,2159,2022-02-16,40918.39,USD,OR
5047,225,2022-02-16,18258.42,USD,OR
5048,3036,2022-02-16,132598.91,USD,OR
5049,758,2022-02-16,32087.83,USD,OR
5050,702,2022-02-16,50752.41,USD,OR
5051,1756,2022-02-16,284126.6,USD,OR
5052,1220,2022-02-16,239967.32,USD,OR
5053,3760,2022-02-16,41081.71,USD,OR
5054,3627,2022-02-16,57078.58,USD,OR
5055,1523,2022-02-16,49055.33,USD,OR
5056,904,2022-02-16,104498.56,USD,OR
5057,2045,2022-02-16,38696.73,USD,OR
5058,2533,2022-02-16,12850.51,USD,OR
5059,2754,2022-02-16,50325.68,USD,OR
5060,2210,2022-02-16,167113.17,USD,OR
5061,1257,2022-02-16,28658.67,USD,OR
5062,3540,2022-02-16,132639.56,USD,OR
5063,4976,2022-02-16,124543.86,USD,OR
5064,2877,2022-02-16,51218.89,USD,OR
5065,1949,2022-02-16,30473.86,USD,OR
5066,2511,2022-02-16,18226.38,USD,OR
5067,2953,2022-02-16,47388.55,USD,OR
5068,3930,2022-02-16,147475.53,USD,OR
5069,1630,2022-02-16,38053.63,USD,OR
5070,2838,2022-02-16,3831.43,USD,OR
5071,4337,2022-02-16,28582.66,USD,OR
5072,233,2022-02-16,116419.37,USD,OR
5073,1384,2022-02-16,35365.73,USD,OR
5074,3844,2022-02-16,150062.03,USD,OR
5075,902,2022-02-16,63738.25,USD,OR
5076,418,2022-02-16,15763.55,USD,OR
5077,770,2022-02-16,72493.58,USD,OR
5078,1097,2022-02-16,16643.1,USD,OR
5079,4939,2022-02-16,106289.22,USD,OR
